source			
KingsBat	50687.27	3757999.54	0
WynbergHill	50931.08	3762898.83	1
DevilsPeak	51662.73	3758471.22	2
DRCBosch	48748.66	3759562.29	3
StJoseph	4892.69	3758949.11	4
Cecilia	54223.03	3763109.39	5
Fernwood	52888.92	3760506.79	6
Menzies	49845.03	3758917.8	7
KingsBat	50750.11	3758299.8	10
WynbergHill	50993.71	3763199.16	11
DevilsPeak	51725.57	3758771.46	12
DRCBosch	48811.38	3759862.58	13
StJoseph	48555.5	3759249.26	14
Cecilia	54285.72	3763409.75	15
Fernwood	52951.68	3760807.08	16
Menzies	49907.87	3759218	17
